NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;Nina Rohayani;Perdagangan Sembako;perdagangan;Blok Warung Pulus Rt.002 Rw.014 Batujajar Barat Batujajar;2012;4;30000000;15000000;081321119762;;2017/06/20;3;3
;Ny. Iroh;Perdagangan Sembako;perdagangan;Kp. Neglasari Rt. 04 Rw. 15  Galanggang Batujajar;2013;5;6000000;60000000;087821877822;;2017/06/21;3;3
;Kelompok UMKM Giri Asih;Perdagangan Sembako;perdagangan;Kp. Cibeber hilir RT. 01/16  Giri Asih Batujajar;2008;5;36000000;5000000;;;2017/06/22;3;3
;Iman Sipasi;Perdagangan Sembako;perdagangan;Kp. Jalantik Ds. Selatan Rt 02 Rw 13 Giri Asih Batujajar;2012;4;10000000;5000000;081322754128;;2017/06/23;3;3
;Lestari;Perdagangan Sembako;perdagangan;Kp.Resmi Galih RT 01/RW 02 Batujajar Timur Batujajar;2008;2;20000000;12000000;081322106771;;2017/06/24;3;3
;Family;Perdagangan Sembako;perdagangan;Jl.Raya Batujajar Kp.sinar mukti RT 02/RW 01 Selacau Batujajar;2016;2;50000000;15000000;081224460234;;2017/06/25;3;3
;Dewi;Perdagangan Sembako;perdagangan;Jl.Batujajar Blok Suka Maju RW 11 Batujajar Barat Batujajar;2012;3;43000000;1000000;087722775372;;2017/06/26;3;3
;MANDIRI;Perdagangan Sembako;perdagangan;Jl.Batujajar Kp. Resmigalih RT 01/RW 02 Batujajar Timur Batujajar;2017;5;11000000;500000;081809561046;;2017/06/27;3;3
;Kenari;Perdagangan Sembako;perdagangan;Jl.Batujajar Kp.Cibeber Hilir RT 01/RW 01 Giri Asih Batujajar;2008;10;12000000;5000000;085956505228;;2017/06/28;3;3
;Jembar Manah;Perdagangan Sembako;perdagangan; Pangauban Batujajar;2012;6;300000000;6000000;;;2017/06/29;3;3
;Mitra Nurani;Perdagangan Sembako;perdagangan;Kp.Jalantir RT 01/RW 14 Selacau Batujajar;2010;4;168000000;500000;;;2017/06/30;3;3
;Kancing Jeans Babakan Pari;Perdagangan Sembako;perdagangan;Kp. Babakan Pari RT 03/ RW 04 Batujajar Timur Batujajar;2005;4;648000000;5,000,000;;;2017/07/01;3;3
;Warung Sembako Apung;Perdagangan Sembako;perdagangan;Kp. Galanggang RT 01/ RW 19 Galanggang Batujajar;2008;3;15000000;2000000;;;2017/07/02;3;3
;Sugriwa ;Perdagangan Sembako;perdagangan;Kp. Blok Jambu RT 01/RW 02 Galanggang Batujajar;2009;8;13000000;2000000;;;2017/07/03;3;3
;Warung Sembako Rifa;Perdagangan Sembako;perdagangan; Batujajar Batujajar;2013;2;50000000;2000000;081910422181;;2017/07/04;3;3
;Kelompok Lisana Pedagang Kaki Lima;Perdagangan Sembako;perdagangan;Kp. Selacau RT 01/ RW 06 Selacau Batujajar;2015;3;15000000;10000000;;;2017/07/05;3;3
;Karsa Sembako;Sembako;perdagangan;Cibeber hilir RW. 02 Giri Asih Batujajar;2016;2;15000000;1000000;;;2017/07/06;3;3
;Toko Makmur Yayat;Sembako;perdagangan;Cibeber hilir RW. 16  Giri Asih Batujajar;2015;2;8000000;1000000;;;2017/07/07;3;3
;Sembako Kokom;Sembako;perdagangan;Cibeber hilir RW.16 Giri Asih Batujajar;2016;3;20000000;1000000;;;2017/07/08;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 04 Giri Asih Batujajar;2012;5;720000000;2000000;;;2017/07/09;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2007;3;18000000;25000000;;;2017/07/10;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 03 Giri Asih Batujajar;2017;3;12000000;25000000;;;2017/07/11;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2005;3;120000000;1500000;;;2017/07/12;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2016;3;48000000;25000000;;;2017/07/13;3;3
;Pakan Burung;Parab Manuk / alat Manuk;perdagangan;Cibeber hilir Rw. 16 Giri Asih Batujajar;2014;3;72000000;7000000;;;2017/07/14;3;3
;Warung Nasi;Warung Nasi;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2006;4;36000000;6000000;;;2017/07/15;3;3
;Wawan Triana;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2018;2;15000000;4000000;;;2017/07/16;3;3
;Imas;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2012;2;54000000;2000000;;;2017/07/17;3;3
;Iis Rismawati;Masakan;perdagangan;Kp Pajajaran RT 01 RW 04  Galanggang  Batujajar;2002;2;26000000;1000000;;;2017/07/18;3;3
;Nurhayati;Warung;perdagangan;Kp Pajajaran RT 01 Rw 04   Galanggang  Batujajar;2010;3;108000000;15000000;;;2017/07/19;3;3
;Nia Kurniasih;Warung;perdagangan;KP Pajajaran RT 01 Rw 04   Galanggang  Batujajar;2010;3;8400000;1000000;;;2017/07/20;3;3
;Rokanah;Warung;perdagangan;Kp Banuraja RT 03 Rw 09 Pangauban  Batujajar;2017;5;36000000;600000;;;2017/07/21;3;3
;Kokom;Warung;perdagangan;KP Cihurip RT 02 Rw 11  Pangauban  Batujajar;2010;3;90000000;28000000;;;2017/07/22;3;3
;Lilis;Beras;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2012;3;14400000;3300000;;;2017/07/23;3;3
;Yuni Rostini;Warung;perdagangan;Kp Cihurip RT 04 Rw 11  Pangauban  Batujajar;2005;5;16800000;2800000;;;2017/07/24;3;3
;Intan S;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2002;3;100000000;25000000;;;2017/07/25;3;3
;Asep Setiawan;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2000;1;90000000;8000000;;;2017/07/26;3;3
;Junaedi;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2006;1;28200000;3000000;;;2017/07/27;3;3
;Euis Suhartini;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2011;4;54000000;6000000;;;2017/07/28;3;3
;Wiwin Hayat;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;1985;1;28800000;3000000;;;2017/07/29;3;3
;Yati Sukaesih;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;1995;2;12000000;400000;;;2017/07/30;3;3
;Andi Faisal;Warung;perdagangan;Kp Pangauban RT 03 Rw 05  Pangauban  Batujajar;1985;3;48000000;7000000;;;2017/07/31;3;3
;Tini Suhartini;Warung;perdagangan;Kp Pajajaran RT 01 Rw 02 Galanggang   Batujajar;2003;3;10000000;2000000;;;2017/08/01;3;3
;Suganda;Warung;perdagangan;Kp Cihurip RT 03 Rw 12  Pangauban  Batujajar;1987;2;10000000;10000000;;;2017/08/02;3;3
;Onih;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;1985;1;12000000;20000000;;;2017/08/03;3;3
;Wati;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2015;2;12000000;20000000;;;2017/08/04;3;3
;Piah;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2010;3;12000000;1500000;;;2017/08/05;3;3
;Iim;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2007;4;10000000;1000000;;;2017/08/06;3;3
;Eros ;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2001;1;15000000;1200000;;;2017/08/07;3;3
;Ira;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2015;3;24000000;4000000;;;2017/08/08;3;3
;Eem;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2014;4;15000000;3000000;;;2017/08/09;3;3
;Holisoh;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12  Pangauban  Batujajar;2012;4;11000000;3500000;;;2017/08/10;3;3
;Hodijah;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12 Pangauban  Batujajar;2008;3;15000000;3000000;;;2017/08/11;3;3
;Suganda;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12  Pangauban  Batujajar;2007;4;20000000;6000000;;;2017/08/12;3;3
;Ai Yanyan;Sembako;perdagangan;Kp Cihurip RT 02 rw 12 Pangauban  Batujajar;1989;2;20000000;5000000;;;2017/08/13;3;3
;Solihah ;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12  Pangauban  Batujajar;2005;5;15000000;2000000;;;2017/08/14;3;3
;Usen ;Sembako;perdagangan;Kp Cihurip RT 04 Rw 11  Pangauban  Batujajar;2016;5;10000000;2000000;;;2017/08/15;3;3
;Ai;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2015;2;16000000;2000000;;;2017/08/16;3;3
;Suheli;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2013;4;12500000;10000000;;;2017/08/17;3;3
;Ai Sukaesin;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2011;1;12000000;1000000;;;2017/08/18;3;3
;Sadili;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2008;1;6000000;1000000;;;2017/08/19;3;3
;Fatimah;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2007;3;15000000;1000000;;;2017/08/20;3;3
;Iyat;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2008;1;12000000;2000000;;;2017/08/21;3;3
;Fardi;Sembako ;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2012;3;21000000;25000000;;;2017/08/22;3;3
;usep;Sembako;perdagangan;Kp Banuraja RT 01 Rw 09  Pangauban  Batujajar;2013;3;20000000;25000000;;;2017/08/23;3;3
;Ayep;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2008;4;10000000;1500000;;;2017/08/24;3;3
;Iri;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2012;3;12000000;6000000;;;2017/08/25;3;3
;Lilis;Sembako;perdagangan;Kp Banusari RT 01 Rw 10  Pangauban  Batujajar;2008;2;12000000;1500000;;;2017/08/26;3;3
;Kokom;warung;perdagangan;Kp Banusari RT 02 Rw 10 Pangauban  Batujajar;2016;2;10000000;10000000;;;2017/08/27;3;3
;Tini;Warung;perdagangan;Kp Banuraja RT 01 Rw 09  Pangauban  Batujajar;2012;2;10000000;30000000;;;2017/08/28;3;3
;Rina;Warung;perdagangan;Kp Banusari RT 03 Rw 09  Pangauban  Batujajar;2017;5;10000000;2000000;;;2017/08/29;3;3
;Mimin;Warung;perdagangan;Kp Banusari RT 05 Rw 10  Pangauban  Batujajar;2008;4;15000000;2500000;;;2017/08/30;3;3
;Engkoy;Warung;perdagangan;Kp banusari RT 05 Rw 10 Pangauban  Batujajar;2012;6;11500000;2000000;;;2017/08/31;3;3
;Yuli;Warung;perdagangan;Kp Banusari RT 02 Rw 10  Pangauban  Batujajar;2010;3;10000000;1000000;;;2017/09/01;3;3
;Yuyun;Warung;perdagangan;Kp Banusari RT 04 Rw 10 Pangauban  Batujajar;2005;1;10000000;2000000;;;2017/09/02;3;3
;Ani;Warung;perdagangan;Kp Banusari RT 01 Rw 10  Pangauban  Batujajar;2008;4;10000000;10000000;;;2017/09/03;3;3
;Enur;Warung;perdagangan;Kp Banusari RT 01 Rw 13 Pangauban  Batujajar;2009;3;12000000;20000000;;;2017/09/04;3;3
;ratna;Warung;perdagangan;Kp Banusari RT 01 Rw 13  Pangauban  Batujajar;2010;3;12000000;20000000;;;2017/09/05;3;3
;Sari;Warung;perdagangan;Kp Banusari RT 01 Rw 13  Pangauban  Batujajar;2015;5;12000000;1500000;;;2017/09/06;3;3
;Agus ;Warung;perdagangan;Kp Banusari RT 04 Rw 10  Pangauban  Batujajar;2002;2;10000000;1000000;;;2017/09/07;3;3
;Lilis;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2006;2;15000000;1200000;;;2017/09/08;3;3
;Yakop;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2017;2;24000000;4000000;;;2017/09/09;3;3
;Suryati;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2005;4;15000000;3000000;;;2017/09/10;3;3
;Rida ;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2012;2;11000000;3500000;;;2017/09/11;3;3
;Dudu;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2006;3;15000000;3000000;;;2017/09/12;3;3
;Andi;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2011;3;20000000;6000000;;;2017/09/13;3;3
;Imas;Dagang;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2003;3;20000000;5000000;;;2017/09/14;3;3
;Wawan Triana;Dagang;perdagangan;Kp Cihurip RT 03/11  Pangauban  Batujajar;2016;3;15000000;2000000;;;2017/09/15;3;3
;Aisah;Dagang;perdagangan;Kp Cihurip RT 02/11 Pangauban  Batujajar;2010;2;10000000;2000000;;;2017/09/16;3;3
;Ika kartika ;Dagang;perdagangan;Kp Cihurip RT 02/11 Pangauban  Batujajar;2017;5;16000000;2000000;;;2017/09/17;3;3
;Rokanah;Dagang;perdagangan;Kp Cihurip RT 03/09 Pangauban  Batujajar;2005;2;12500000;10000000;;;2017/09/18;3;3
;Yoyoh;Dagang;perdagangan;Kp Cihurip RT 02/11 Pangauban  Batujajar;2001;4;12000000;1000000;;;2017/09/19;3;3
;Wiwin Hayati;Dagang;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2005;3;6000000;1000000;;;2017/09/20;3;3
;Asep Setiawan;Dagang;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2003;4;15000000;1000000;;;2017/09/21;3;3
;Yuni Rostini;Dagang;perdagangan;Kp Cihurip RT 04/11  Pangauban  Batujajar;2011;2;12000000;2000000;;;2017/09/22;3;3
;Lilis ;Dagang ;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2015;3;11500000;5000000;;;2017/09/23;3;3
;Junaedi;Dagang;perdagangan;Kp Cihurip RT 01/11 Pangauban  Batujajar;2002;3;24000000;2000000;;;2017/09/24;3;3
;Intan S ;Dagang;perdagangan;Kp Cihurip RT 01/11  Pangauban  Batujajar;2001;4;12000000;20000000;;;2017/09/25;3;3
;Nur Hayati;Dagang ;perdagangan;Kp Pajajaran RT 01/04   Galanggang  Batujajar;2011;4;11050000;3500000;;;2017/09/26;3;3
;Nia Kurniasih ;Dagang;perdagangan;Kp Pajajaran RT 01/04   Galanggang  Batujajar;2016;1;10000000;2000000;;;2017/09/27;3;3
;Kokom;Dagang;perdagangan;Kp Pajajaran RT 02/11   Galanggang  Batujajar;2011;2;14000000;1500000;;;2017/09/28;3;3
;;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2003;1;10000000;1500000;;;2017/09/29;3;3
;Kel. Pemuda Mandiri;Warung  ;perdagangan;Kp. Selacau RT.01/08 Selacau Batujajar ;2016;4;24000000;3000000;;;2017/09/30;3;3
;Selacau Mandiri;Warung  ;perdagangan;Jl.Selacau Kp.Selacau RT 02 RW 05 Selacau Batujajar;2010;1;10000000;5000000;;;2017/10/01;3;3
;Eka Karya Mandiri;Warung  ;perdagangan;Kp.Resmigalih RT 02 RW 02 Batujajar Timur Batujajar;2017;2;50000000;5000000;;;2017/10/02;3;3
;Panca Tengah;Warung  ;perdagangan;Jl.Blok Panca Tengah RT 04 RW 03 Batujajar Barat Batujajar;2005;1;50000000;5000000;;;2017/10/03;3;3
;Sauyunan;Warung  ;perdagangan;Kp.Selacau RT 02 RW 08 Batujajar Batujajar;2001;4;45000000;6000000;;;2017/10/04;3;3
;Warung Al Barokah;sembako;perdagangan;Blok Ranca RT 04 RW 02 Batujajar Barat Batujajar;2005;3;12000000;1000000;01000;;2017/10/05;3;3
;Sanggar Burung Arumba;sembako;perdagangan;Kp.Gang Panca Tengah RT 07 RW 03 Batujajar Barat Batujajar;2003;4;12000000;1000000;;;2017/10/06;3;3
;Capucino Cincau;sembako;perdagangan;Kp.Sirnamukti RT 02 RW 04 Selacau Batujajar;2011;5;70000000;20000000;;;2017/10/07;3;3
;Sadulur;sembako;perdagangan;Kp.Resmigalih RT 02 RW 02 Batujajar Timur Batujajar;2015;7;65000000;20000000;;;2017/10/08;3;3
;Bintang Perubahan;Toko minmarket;perdagangan;Kp.Cibeber RT 01 RW 02 Giriasih Batujajar;2002;5;50000000;3500000;;;2017/10/09;3;3
;warung;sembako;perdagangan;kp.cibogo rt 04/12 pangauban batujajar;2001;2;10000000;2000000;;;2017/10/10;3;3
;kelontonagn;roko,kopi,jajanan;perdagangan;Kp.Sukasari    RT 02 RW 16 galanggang batujajar;2011;4;5000000;1000000;085315422981;;2017/10/11;3;3
;berkah;sembako m. ringan;perdagangan;kp.cigintungrt 02/05 cangkorah batujajar;2016;4;15000000;1200000;;;2017/10/12;3;3
;Toko Kelontong;sembako m. ringan;perdagangan;kp.haur nyondol rt 01/06  ;2010;3;50000000;4000000;;;2017/10/13;3;3
;Toko Kelontong;sembako m ringan;perdagangan;kp.haur nyondol rt 01/06 cangkorah batujajar;2012;4;32000000;3000000;;;2017/10/14;3;3
;pengecer gas 3kg 5,5 kg ;gas 3 kg, 5,5 kg;perdagangan;Kp.Cibeber RT 02 RW 02 giri asih batujajar;2001;5;30000000;3500000;087722434432;;2017/10/15;3;3
;waroeng reisya;warung kelontong;perdagangan;kp.cibeber. Hilir rt 02/02 giri asih batujajar;2011;4;40000000;3000000;087823291933;;2017/10/16;3;3
;warung;warung kelontong;perdagangan;kp.cibeber hilir rt 01/02 giri asih batujajar ;2016;2;20000000;6000000;;;2017/10/17;3;3
;warung sembako;warung sembako;perdagangan;kp.cibeber hilir rt 01/02 giri asih batujajar ;2010;6;20000000;5000000;0856592916969;;2017/10/18;3;3
;warung seblak;Seblak;perdagangan;kp.cibeber hilir rt.01/02 giri asih batujajar ;2007;4;30000000;2000000;;;2017/10/19;3;3
;warung bu siti sa'adah ;kebutuhan sehari-hari (sembako);perdagangan;kp.cibeber hilir rt 02/02 giri asih  batujajar ;2006;3;9000000;2000000;085315134997;;2017/10/20;3;3
;warung;jualan sembako;perdagangan;kp.cibeber hilir rt 01/02 giri asih batujajar ;2016;5;18500000;2000000;081214783074;;2017/10/21;3;3
;warung kopi ibu siti ;warung kopi;perdagangan;kp.cibeber hilir rt 02/02 giri asih batujajar ;2007;4;5000000;2000000;082218249793;;2017/10/22;3;3
;warung sembako;Sembako;perdagangan;kp.cibeber hilir rt 03/02 giri asih batujajar;2006;5;52000000;10.000.00;089625094021;;2017/10/23;3;3
;basreng;basreng,krupuk guriliem;perdagangan;kp.cibeber hilir rt 02/02 giri asih batujajar ;2006;4;6000000;720000;;;2017/10/24;3;3
;warung nasi ;warung nasi ;perdagangan;kp.cibeber hilir rt 02/02 giri asih  batujajar ;2001;8;50000000;6500000;085220812690;;2017/10/25;3;3
;dagang warung nasi ;warung nasi;perdagangan;kp.cibeber hilir rt 01/02 giri asih batujajar ;2010;7;14400000;8000000;081221188044;;2017/10/26;3;3
;warung kopi  ;makanan dan kopi;perdagangan;kp.cibeber hilir rt 01/02 giri asih batujajar ;2012;7;38000000;7000000;;;2017/10/27;3;3
;warung nasi ;makanan;perdagangan;kp.cibeber hilir rt 02/02 giri asih batujajar ;2005;10;12000000;14000000;081214264935;;2017/10/28;3;3
;toko sembako;sembako;perdagangan;kp.cibeber hilir rt 03/02 giri asih batujajar;2007;3;648000;1350000;;;2017/10/29;3;3
;Toko Wida;warung;perdagangan;kp.sekekendel rt 01/07 cangkorah batujajar;2006;6;140000000;25000000;082115395318;;2017/10/30;3;3
;warung;makanan & pakan ayam ;perdagangan;kp.cihurip rt 01/11 panguban  batujajar ;2011;7;9000000;2000000;;;2017/10/31;3;3
;warung;sembako;perdagangan;kp.cihurip rt 01/12 pangauban  batujajar ;2007;3;144000000;15000000;;;2017/11/01;3;3
;warung ;makanan ;perdagangan;kp.cihurip rt 01/11 pangauban  batujajar ;2012;5;280000000;700000;;;2017/11/02;3;3
;warung;makanan ;perdagangan;kp.babakan baru rt 03/12 pangauban  batujajajr ;2016;2;36000000;700000;;;2017/11/03;3;3
;warung ;makanan ;perdagangan;kp.babakan baru rt 03/12 pangauban  batujajar ;2010;3;40000000;5000000;;;2017/11/04;3;3
;warung;sembako;perdagangan;kp.babakan baru rt 03/12 pangauban batujajar;2003;8;112000000;3000000;;;2017/11/05;3;3
;dagang  ;tempe,tahu;perdagangan;Kp.Dungus Purna RT 02/10 Desa  pangauban  batujajar ;2010;5;17500000;2000000;082129551462;;2017/11/06;3;3
;Toko Tahu;jualan eceran BBM 9bensin 2 tak);perdagangan;jln desa galanggan no 19 rt. 02/09 galanggan  batujajar ;2012;8;36000000;10000000;0895600874494;;2017/11/07;3;3
;warung ;sembako ;perdagangan;Kp. Dunguspurna rt. 04/10 galanggan  batujajar ;2015;3;36000000;15000000;081394460216;;2017/11/08;3;3
;warung ;sembako ;perdagangan;kp. Warung pulus rt. 02/09 galanggan  batujajar ;2009;8;8100000;2000000;087821695461;;2017/11/09;3;3
;jualan el'piji / gas 3 kg ;jualan ;perdagangan;kp.cibeber hilir rt 03  rw 02 giri asih  batujajar;2012;4;6000000;15000000;081214705246;;2017/11/10;3;3
;dumar;warung kelontong (warkop);perdagangan;jl.raya batujajar rt 02/02 giri asih  batujajar ;2007;4;20000000;60000000;089621424423;;2017/11/11;3;3
;Warung Makan;nasi / kopi;perdagangan;kp.seketando rt 02/17 cangkorah  batujajar ;2015;3;50000000;5000000;089669363120;;2017/11/12;3;3
;Warung Makan;warkop jajanan anak;perdagangan;kp.seketando rt 02 / 17  cangkorah  batujajar ;2010;4;50000000;5000000;089644023083;;2017/11/13;3;3
;warung ;keringan ;perdagangan;kp. Selacau rt 02 / 05  selacau  batujajar ;2007;4;6000000;12000000;081809003837;;2017/11/14;3;3
;Calaider;Digital Printing, Sablon Spanduk;jasa lainnya;Kp.Cicangkuang RT 02/09  Giri Asih Batujajar;2010;4;17500000;2000000;;;2017/11/15;3;3
;Loket Pembayaran Listrik;Jasa Pembayara;jasa lainnya;Kp.Cikonde RT 02/07 Desa  Bojongkalong  Batujajar;2010;2;36000000;2000000;085624499454 / 081221255801;;2017/11/16;3;3
;Pengrajin;Konveksi /Sablon;jasa lainnya;Kp. Warungpulus No. 443 RT. 01 RW. 14 Galanggang Batujajar;2000;2;36000000;10000000;;;2017/11/17;3;3
;Ellfi Foto Copy;Foto Copy;jasa lainnya;Kp.Sukasari    RT 02 RW 16 Galanggang Batujajar;2009;3;8100000;1000000;;;2017/11/18;3;3
;Mega Las;Jasa Las Besi;jasa lainnya;Jl.Raya Batujajar No.433  RT 03/12 Batujajar Barat Batujajar;2010;5;6000000;1000000;02292361417;;2017/11/19;3;3
;Warnet RB;Jasa Internet;jasa lainnya;Kp. Pengkolan RT 01/17 Desa  Giri Asih  Batujajar;2005;10;20000000;1000000;081321147522;;2017/11/20;3;3
;Pemancingan Sahate;;jasa lainnya;Kp. Jalantir RT 02/RW 14 Selacau Batujajar;2001;6;50000000;2000000;022-6865287;;2017/11/21;3;3
;las listrik ;bikin pagar ;jasa lainnya;kp. Pangauban rt 05/05  pangauban  batujajar ;2001;4;50000000;25000000;082315016277;;2017/11/22;3;3
;sinar mekar ;tenda , panggung ;jasa lainnya;kp. Panguban 01/06 pangauban  batujajar ;2001;4;6000000;25000000;;;2017/11/23;3;3
;surya medal sound;sound system;jasa lainnya;kp.panguban rt 02/06 pangauban  batujajar;2016;3;8000000;1500000;087825826493;;2017/11/24;3;3
;Ternak Itik;Ternak Itik;peternakan;Kp. Ciketung Bojongjambu Ciselang Jati Batujajar;2009;3;36000000;10000000;;;2017/11/25;3;3
;Kelompok Usaha Ekonomi Produktif Rahayu;Telur Itik;peternakan;Kp.Sekecengek RT 01/RW 08 Cangkorah Batujajar;2010;3;12000000;1000000;022705278645;;2017/11/26;3;3
;ternak bebek;jual beli bebek;peternakan;kp.haur nyondol rt 02 / 06 cangkorah batujajar ;2005;4;12000000;1000000;;;2017/11/27;3;3
;Telor Asin;Telor Asin;peternakan;Kp.Cikonde RT 02/07 Desa  Bojongkalong  batujajar ;2001;3;70000000;20000000;083829793816;;2017/11/28;3;3
;Peternakan Ayam Petelur;Telur;peternakan;Kp. Warungpulus No. 443 RT. 01 RW. 14 Galanggang batujajar ;2001;2;65000000;20000000;;;2017/11/29;3;3
;Kelompok Usaha Mudah Rezeki;Ternak Domba;peternakan;Kp.Sukasari    RT 02 RW 16 Galanggang batujajar ;2001;3;50000000;3500000;;;2017/11/30;3;3
;Perternaka Ulat Hongkong;Ulat Hongkong;peternakan;Jl.Raya Batujajar No.433  RT 03/12 Batujajar Barat batujajar ;2016;3;10000000;2000000;;;2017/12/01;3;3
;Kelompok Usaha Bersama Saraksa;Ternak Domba;peternakan;Blok Babakan Sari Rt 01 Rw 06 Batujajar Barat batujajar ;2008;2;100000000;25000000;;;2017/12/02;3;3
;Kelompok Usaha Ternak Domba  Sugih Mukti;Ternak Domba;peternakan;Kp. Warung Pulus Rt.002 Rw.009 Galanggang  batujajar ;2016;4;12000000;15000000;;;2017/12/03;3;3
;Kelompok Usaha Kecil Berkah Sejati;Domba Pedaging;peternakan;Blok Warung Pulus Rt.002 Rw.014 Batujajar Barat batujajar ;2012;3;12000000;11500000;;;2017/12/04;3;3
;Kelompok Usaha Bersama Ternak Domba;Ternak Domba;peternakan;Kp. Neglasari Rt. 04 Rw. 15  Galanggang batujajar ;2017;2;15000000;2000000;;;2017/12/05;3;3
;Kelompok Usaha Ternak Itik dan bebek Lestari;Ternak Itik dan Bebek;peternakan;Kp. Cibeber hilir RT. 01/16  Giri Asih batujajar ;2008;1;13000000;2000000;;;2017/12/06;3;3
;Citra Mandiri;Peternakan Bebek;peternakan;Kp. Jalantik Ds. Selatan Rt 02 Rw 13 Giri Asih batujajar ;2012;4;36000000;10000000;;;2017/12/07;3;3
;Gin’s Mandiri Sport (GMS);Jasa Bengkel Motor;reparasi mobil dan motor;Jl. Raya Batujajar No. 266 Desa  Galanggang  Batujajar;2003;6;43200000;3000000;081322192696;;2017/12/08;3;3
;bengkel motor;ganti oli servis;reparasi mobil dan motor;kp.sekebangbara rt 01/12 cangkorah batujajar;2011;4;40000000;22000000;081224369730;;2017/12/09;3;3
;fm. Motor bengkel ;bengkel ;reparasi mobil dan motor;kp.cibogo rt 04/12 panguban  batujajar ;2015;5;24000000;15000000;;;2017/12/10;3;3
;Parbue Motor;bengkel  motor;reparasi mobil dan motor;Jl Raya Batujajar No 152 Giriasih  batujajar ;2008;3;35000000;23500000;;;2017/12/11;3;3
;Bengkel Aditya Racing Team ;tune Up Motor ;reparasi mobil dan motor;Jl Raya Batujajar No 102 Giriasih  batujajar ;2001;3;42000000;14000000;;;2017/12/12;3;3
;Jual Ikan Segar;Jasa Bengkel Motor;Perikanan;Jl. Raya Batujajar No. 266 Desa  Galanggang  Batujajar;2003;6;43200000;3000000;081322192696;;2017/12/13;3;3
