NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;mandiri;makanan;makanan;kp.sesekon rt 01/07 cangkorah batujajar;2017;3;1200000;15000000;;;2018/06/13;3;3
;warung kopi ;rujak keliling ;rujak keliling ;kp.cigintung rt 01/05 cangkorah batujajar ;2003;8;4000000;50000000;;;2018/06/14;3;3
;dagang warung nasi ;makanan ;makanan ;kp.pangauban rt 05/05 pangauban  batujajar ;1999;6;3000000;32000000;;;2018/06/15;3;3
;jual bubur nasi uduk ;bubur ayam ;bubur ayam ;kp.haur nyondol rt 01/06 cangkorah batujajar ;2000;8;3500000;30000000;;;2018/06/16;3;3
;warung ;kebutuhan poko ;kebutuhan poko ;kp.pangauban rt 01/05 pangauban batujajar;2011;4;3000000;40000000;;;2018/06/17;3;3
;warung sembako ;rumah/warung ;rumah/warung ;kp.cibodas rt 03/08 pangauban  batujajar ;2011;4;6000000;20000000;;;2018/06/18;3;3
;mandiri;sembako/makanan ringan;sembako/makanan ringan;kp.haur nyondol rt 01/06 cangkorah batujajar;2016;2;5000000;20000000;;;2018/06/19;3;3
;usaha mandiri;sembako/ makanan anak;sembako/ makanan anak;kp.haur nyondol rt 01/06 cangkorah batujajar;2000;9;2000000;30000000;;;2018/06/20;3;3
;sosis bakar;bakar;bakar;kp.cigintung rt 02/05 cangkorah batujajar;2005;5;2000000;9000000;;;2018/06/21;3;3
;gorengan;tahu pedas, jamur crispy;tahu pedas, jamur crispy;ci beber hilir rt 02/02 giri-asih batujajar;2014;4;2000000;18500000;;;2018/06/22;3;3
;warung;klontong + seblak ;klontong + seblak ;cibeber rt 02/02 giri asih batujajar;2007;5;5000000;32500000;;;2018/06/23;3;3
;usaha mandiri;lotek dll;lotek dll;kp.cibeber hilir rt 04/02 giri saih batujajar;2010;6;3000000;16000000;;;2018/06/24;3;3
;goreng tahu galing ;tahu galing;tahu galing;kp.cibeber hilir rt 02/03 giri asih  batujajajr ;2012;5;2000000;12500000;;;2018/06/25;3;3
;goreng-goreng edun ;goreng-gorengan ;goreng-gorengan ;Kp. Cibeber hilir RT. 04/02  giri asih  batujajar ;2008;7;10000000;90000000;;;2018/06/26;3;3
;gorengan;makanan,minuman,sembako ;makanan,minuman,sembako ;kp. Cibeber hilir RT. 03/02 giri asih  batujajar ;2008;9;15000000;180000000;;;2018/06/27;3;3
;warung makan ringan ;makanan ringan;makanan ringan;kp. Cibeber hilir RT. 02/02  giri asih  batujajar ;2003;2;2000000;20000000;;;2018/06/28;3;3
;warung jajanan enak / bubur ayam ;makanan ringan/bakso;makanan ringan/bakso;kp. Cibeber hilir RT. 03/02 giri asih  batujajar ;2012;7;15000000;30000000;;;2018/06/29;3;3
;warung es krim;es krim;es krim;kp.cibeber hilir rt 03/02 giri asih batujajar ;2010;6;60000000;6000000;;;2018/06/30;3;3
;warung bakso ;bakso;bakso;kp.cibeber hilir rt 04/02 giri asih batujajar ;2001;3;5000000;36000000;;;2018/07/01;3;3
;usaha mandiri;rica;rica;kp.cibeber hilir rt 01/02 giri asih batujajar ;2004;5;5000000;10000000;;;2018/07/02;3;3
;warung makan;lepet naga ;lepet naga ;kp.cibeber hilir rt02/02 giri asih batujajar;2011;4;12000000;20000000;;;2018/07/03;3;3
;gorengan ;combro,pisang,gehu ;combro,pisang,gehu ;kp.cibeber hilir rt 02/02 giri asih batujajar ;2012;1;15000000;50000000;;;2018/07/04;3;3
;warung gorengan;makanan ringan;makanan ringan;kp.seketando rt 02/17 cangkorah batujajar;2010;6;30000000;6000000;;;2018/07/05;3;3
;warung tambal ban ;jajanan ringan ;jajanan ringan ;kp.sampih manggu rt 02/11 cangkorah batujajar;2007;3;2000000;5000000;085 720 349 820;;2018/07/06;3;3
;warung kopi ;warung kopi;warung kopi;kp.haur nyondol rt 01/06 cangkorah batujajar;2010;6;2500000;5000000;081 224 704 079;;2018/07/07;3;3
;warung makanan ;warung;warung;kp.sekekendel rt 01/07 cangkorah batujajar;2015;1;2000000;25000000;085794413439;;2018/07/08;3;3
;warung;mie baso;mie baso;kp.cihuriprt 03 /12  pangauban  batujajar ;2002;6;1000000;60000000;085222203870;;2018/07/09;3;3
;warung ;mie baso ;mie baso ;kp.cibogo rt 04/12 pangauban  batujajar ;2006;7;2000000;37000000;082121454414;;2018/07/10;3;3
;dagang ;jualan gorengan ;jualan gorengan ;kp. Neglasari rt. 03/15 galanggan  batujajar ;2017;2;10000000;15000000;085222557127;;2018/07/11;3;3
;bubur ayam keliling ;bubur ayam ;bubur ayam ;kp. Warung pulos rt. 02/09 galanggang  batujajar ;2005;5;14000000;13000000;;;2018/07/12;3;3
;dagang ;gorengan ;gorengan ;kp. Warung pulus rt. 02/09 galanggan  batujajar ;2012;4;16000000;36000000;;;2018/07/13;3;3
;dagang keliling ;kupat tahu ;kupat tahu ;kp. Warung pulus rt 02/09 galanggan  batujajar ;2006;3;15500000;65000000;;;2018/07/14;3;3
;awug makanan kue basah ;makanan ringan ;makanan ringan ;galanggang rt 04/10 galanggang batujajar;2011;2;40000000;65000000;;;2018/07/15;3;3
;membuat kredung dan krifik ;kerudung, kripik ;kerudung, kripik ;kp.cibeber hilir  giri asih  batujajar ;2003;2;720000;6000000;;;2018/07/16;3;3
;warung,seblak dan makanan ;jualan seblak dan makanan ringan ;jualan seblak dan makanan ringan ;kp.babakan baru rt 02/04 batujajar timur  batujajar ;2016;2;6500000;50000000;;;2018/07/17;3;3
;warung makan;nasi timbel / jenis goreng gorengan ;nasi timbel / jenis goreng gorengan ;kp.seketando rt 02/17 cangkorah batujajar ;2010;4;8000000;14400000;;;2018/07/18;3;3
;gorengan / bakwan ;bakwan dll;bakwan dll;kp. Cibeber hilir rt. 03/01 giri asih  batujajar;2017;2;7000000;38000000;;;2018/07/19;3;3
;warung ;kering;kering;kp.selacau rt 02 / 04 salacau batujajar ;2005;3;14000000;12000000;081223997236/0281222924486;;2018/07/20;3;3
;warung;keringan ;keringan ;kp.salacau rt 02 / 078 salacau batujajar ;2001;3;1350000;648000;085225355456;;2018/07/21;3;3
;warung;keringan ;keringan ;kp.salacau rt 02 / 05 salacau batujajar ;2005;3;25000000;140000000;;;2018/07/22;3;3
;warung;sayuran dan keringan ;sayuran dan keringan ;kp.selacau rt 02/ 05  salacau batujajar ;2003;3;2000000;9000000;085321107276;;2018/07/23;3;3
;warung sayuran;warung sembako / bubur ayam ;warung sembako / bubur ayam ;"kp.;haur nyondol rt 02 / 06 cangkorah  batujajar ";2011;2;15000000;144000000;082120748911;;2018/07/24;3;3
;warung ;makanan dan minuman ;makanan dan minuman ;kp.cibogo rt 04/12 pangauban  batujajar ;2015;5;700000;280000000;;;2018/07/25;3;3
;warung makanan;makanan ringan ;makanan ringan ;kp. Citunjung rt. 03/01 galanggang  batujajar;2002;2;700000;36000000;;;2018/07/26;3;3
;warung nasi bu ekis;warung nasi + sembako;warung nasi + sembako;jl. Raya citunjung 214 rt. 03/01 galanggang  batujajar ;2001;4;5000000;40000000;085294889306;;2018/07/27;3;3
;batagor;batagor;batagor;kp. Citunjung rt. 02/03 batujajar timur  batujajar ;2011;3;3000000;112000000;081220260488;;2018/07/28;3;3
;lukman ;ayam goreng ;ayam goreng ;kp.cihurip rt 01/11 pangauban  batujajar ;2016;4;2000000;17500000;;;2018/07/29;3;3
;warung nasi ;ayam surundeng ;ayam surundeng ;kp.cibeber hilir rt 01/03 giri asih  batujajar ;2011;2;10000000;36000000;085222778952;;2018/07/30;3;3
;warung kopi ;nasi kuning kopi gorengan ;nasi kuning kopi gorengan ;kp.pengkolan rt 03/17 giri asih  batujajar ;2005;3;15000000;36000000;089662557859;;2018/07/31;3;3
;kerupuk seblak ''efnan'';kerupuk pedas ;kerupuk pedas ;kp.seketando rt 01/13 cangkorah  batujajar ;2016;3;2000000;8100000;08993779228;;2018/08/01;3;3
;bandros ;bandros ;bandros ;kp.citungjung rt 02/03 batujajar timur  batujajar ;2015;4;15000000;6000000;;;2018/08/02;3;3
;pindano ;pindang ;pindang ;kp.seketando  cangkorah  batujajar ;2013;4;60000000;20000000;;;2018/08/03;3;3
;warbas rina;warung baso dan lotek ;warung baso dan lotek ;kp.seketando rt 01/02 cangkorah batujajar ;2011;1;5000000;50000000;;;2018/08/04;3;3
;kumetap ;mie ayam ;mie ayam ;kp. Cipangulaan rt. 01/06 giri asih  batujajar ;2008;2;5000000;50000000;;;2018/08/05;3;3
;batagor keliling;batagor keliling dan batagor di sekolah  ;batagor keliling dan batagor di sekolah  ;kp. Sekeloa rt. 03/09 cangkorah  batujajar ;2007;1;12000000;6000000;081315764695;;2018/08/06;3;3
;sop buah, ayam didi;sop buah/ mie ayam, nasi kuning, gorengan ;sop buah/ mie ayam, nasi kuning, gorengan ;kp. Citunjung rt. 02/03 batujajar timur batujajar ;2008;4;15000000;8000000;;;2018/08/07;3;3
;warung ecin seger makmur ;masakan sembako gorengan ;masakan sembako gorengan ;kp.seke bangbara rt 01/ 12 cangkorah  batujajar ;2012;3;30000000;60000000;085814164581;;2018/08/08;3;3
;nasi koneng / gorengan ;nasi kuning kopi gorengan ;nasi kuning kopi gorengan ;kp.citunjung rt 02/03 batujajar timur  batujajar ;2013;4;2000000;37000000;;;2018/08/09;3;3
;kupat tahu ;kupat tahu ;kupat tahu ;kp .ci tunjung rt 02/03 batujajar timur batujajar ;2008;5;2500000;15000000;;;2018/08/10;3;3
;rujak seger ;rujak  ;rujak  ;kp.citunjung rt 02/03 batujajar timur  batujajar ;2007;7;2000000;13000000;081809643846;;2018/08/11;3;3
;;masakan  ;masakan  ;gang mesjit rt 01/05 galanggang batujajar ;2008;5;1000000;15000000;087825278531;;2018/08/12;3;3
;cilok nenak parahiangan ;Cilok;Cilok;jl smp panca tengah rt 05/03 batujajar barat  batujajar ;2004;2;2000000;50000000;081809740525;;2018/08/13;3;3
;samset multi indo ;catering ;catering ;kp. Andir rt.08/02 gadobangkong  batujajar ;2007;4;10000000;32000000;082216627930;;2018/08/14;3;3
;kelompok usaha ;baso ;baso ;kp. Sasak besi  gadobangkong  batujajar ;2003;3;14000000;30000000;085321805035;;2018/08/15;3;3
;amco mandiri pratama ;susu kedelai ;susu kedelai ;jl. Raya gadobangkong no.160 rt. 03/04  gadobangkong  batujajar ;2004;8;16000000;40000000;083816546453;;2018/08/16;3;3
;cahaya obor prakasa ;kerupuk ;kerupuk ;jl. Raya gadobangkong no. 80  gadobangkong  batujajar ;2012;3;15500000;20000000;081314959249 / 089501132590;;2018/08/17;3;3
;glisendo mandiri;susu kedelai ;susu kedelai ;jl. Raya gadobangkong  no160 rt03/04 gadobangkong  batujajar ;2008;6;18000000;32500000;;;2018/08/18;3;3
;triteguh manunggal abadi ;kembang gula ;kembang gula ;jl. Raya gadobangkong no. 66 A gadobangkong  batujajar ;2013;3;10000000;12000000;;;2018/08/19;3;3
;NS Sehati ;sistik daun bawang,pangsit daun jeruk,tempe pedas ;sistik daun bawang,pangsit daun jeruk,tempe pedas ;Kp. Grimulya rt 02/09  selacau  batujajar ;2008;5;10000000;12000000;082115026254;;2018/08/20;3;3
;Sembako;Perdagangan Sembako;perdagangan;Blok Babakan Sari Rt 01 Rw 06 Batujajar Barat Batujajar;2007;1;15000000;180000000;02291814992;;2018/08/21;3;3
;Lilis Sumarti;Perdagangan Sembako;perdagangan;Kp. Warung Pulus Rt.002 Rw.009 Galanggang  Batujajar;2008;2;2000000;20000000;081910237052;;2018/08/22;3;3
;Nina Rohayani;Perdagangan Sembako;perdagangan;Blok Warung Pulus Rt.002 Rw.014 Batujajar Barat Batujajar;2012;4;15000000;30000000;081321119762;;2018/08/23;3;3
;Ny. Iroh;Perdagangan Sembako;perdagangan;Kp. Neglasari Rt. 04 Rw. 15  Galanggang Batujajar;2013;5;60000000;6000000;087821877822;;2018/08/24;3;3
;Kelompok UMKM Giri Asih;Perdagangan Sembako;perdagangan;Kp. Cibeber hilir RT. 01/16  Giri Asih Batujajar;2008;5;5000000;36000000;;;2018/08/25;3;3
;Iman Sipasi;Perdagangan Sembako;perdagangan;Kp. Jalantik Ds. Selatan Rt 02 Rw 13 Giri Asih Batujajar;2012;4;5000000;10000000;081322754128;;2018/08/26;3;3
;Lestari;Perdagangan Sembako;perdagangan;Kp.Resmi Galih RT 01/RW 02 Batujajar Timur Batujajar;2008;2;12000000;20000000;081322106771;;2018/08/27;3;3
;Family;Perdagangan Sembako;perdagangan;Jl.Raya Batujajar Kp.sinar mukti RT 02/RW 01 Selacau Batujajar;2016;2;15000000;50000000;081224460234;;2018/08/28;3;3
;Dewi;Perdagangan Sembako;perdagangan;Jl.Batujajar Blok Suka Maju RW 11 Batujajar Barat Batujajar;2012;3;1000000;43000000;087722775372;;2018/08/29;3;3
;MANDIRI;Perdagangan Sembako;perdagangan;Jl.Batujajar Kp. Resmigalih RT 01/RW 02 Batujajar Timur Batujajar;2017;5;500000;11000000;081809561046;;2018/08/30;3;3
;Kenari;Perdagangan Sembako;perdagangan;Jl.Batujajar Kp.Cibeber Hilir RT 01/RW 01 Giri Asih Batujajar;2008;10;5000000;12000000;085956505228;;2018/08/31;3;3
;Jembar Manah;Perdagangan Sembako;perdagangan; Pangauban Batujajar;2012;6;6000000;300000000;;;2018/09/01;3;3
;Mitra Nurani;Perdagangan Sembako;perdagangan;Kp.Jalantir RT 01/RW 14 Selacau Batujajar;2010;4;500000;168000000;;;2018/09/02;3;3
;Kancing Jeans Babakan Pari;Perdagangan Sembako;perdagangan;Kp. Babakan Pari RT 03/ RW 04 Batujajar Timur Batujajar;2005;4;5,000,000;648000000;;;2018/09/03;3;3
;Warung Sembako Apung;Perdagangan Sembako;perdagangan;Kp. Galanggang RT 01/ RW 19 Galanggang Batujajar;2008;3;2000000;15000000;;;2018/09/04;3;3
;Sugriwa ;Perdagangan Sembako;perdagangan;Kp. Blok Jambu RT 01/RW 02 Galanggang Batujajar;2009;8;2000000;13000000;;;2018/09/05;3;3
;Warung Sembako Rifa;Perdagangan Sembako;perdagangan; Batujajar Batujajar;2013;2;2000000;50000000;081910422181;;2018/09/06;3;3
;Kelompok Lisana Pedagang Kaki Lima;Perdagangan Sembako;perdagangan;Kp. Selacau RT 01/ RW 06 Selacau Batujajar;2015;3;10000000;15000000;;;2018/09/07;3;3
;Karsa Sembako;Sembako;perdagangan;Cibeber hilir RW. 02 Giri Asih Batujajar;2016;2;1000000;15000000;;;2018/09/08;3;3
;Toko Makmur Yayat;Sembako;perdagangan;Cibeber hilir RW. 16  Giri Asih Batujajar;2015;2;1000000;8000000;;;2018/09/09;3;3
;Sembako Kokom;Sembako;perdagangan;Cibeber hilir RW.16 Giri Asih Batujajar;2016;3;1000000;20000000;;;2018/09/10;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 04 Giri Asih Batujajar;2012;5;2000000;720000000;;;2018/09/11;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2007;3;25000000;18000000;;;2018/09/12;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 03 Giri Asih Batujajar;2017;3;25000000;12000000;;;2018/09/13;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2005;3;1500000;120000000;;;2018/09/14;3;3
;Sembako;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2016;3;25000000;48000000;;;2018/09/15;3;3
;Pakan Burung;Parab Manuk / alat Manuk;perdagangan;Cibeber hilir Rw. 16 Giri Asih Batujajar;2014;3;7000000;72000000;;;2018/09/16;3;3
;Warung Nasi;Warung Nasi;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2006;4;6000000;36000000;;;2018/09/17;3;3
;Wawan Triana;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2018;2;4000000;15000000;;;2018/09/18;3;3
;Imas;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2012;2;2000000;54000000;;;2018/09/19;3;3
;Iis Rismawati;Masakan;perdagangan;Kp Pajajaran RT 01 RW 04  Galanggang  Batujajar;2002;2;1000000;26000000;;;2018/09/20;3;3
;Nurhayati;Warung;perdagangan;Kp Pajajaran RT 01 Rw 04   Galanggang  Batujajar;2010;3;15000000;108000000;;;2018/09/21;3;3
;Nia Kurniasih;Warung;perdagangan;KP Pajajaran RT 01 Rw 04   Galanggang  Batujajar;2010;3;1000000;8400000;;;2018/09/22;3;3
;Rokanah;Warung;perdagangan;Kp Banuraja RT 03 Rw 09 Pangauban  Batujajar;2017;5;600000;36000000;;;2018/09/23;3;3
;Kokom;Warung;perdagangan;KP Cihurip RT 02 Rw 11  Pangauban  Batujajar;2010;3;28000000;90000000;;;2018/09/24;3;3
;Lilis;Beras;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2012;3;3300000;14400000;;;2018/09/25;3;3
;Yuni Rostini;Warung;perdagangan;Kp Cihurip RT 04 Rw 11  Pangauban  Batujajar;2005;5;2800000;16800000;;;2018/09/26;3;3
;Intan S;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2002;3;25000000;100000000;;;2018/09/27;3;3
;Asep Setiawan;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2000;1;8000000;90000000;;;2018/09/28;3;3
;Junaedi;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2006;1;3000000;28200000;;;2018/09/29;3;3
;Euis Suhartini;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2011;4;6000000;54000000;;;2018/09/30;3;3
;Wiwin Hayat;Warung;perdagangan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;1985;1;3000000;28800000;;;2018/10/01;3;3
;Yati Sukaesih;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;1995;2;400000;12000000;;;2018/10/02;3;3
;Andi Faisal;Warung;perdagangan;Kp Pangauban RT 03 Rw 05  Pangauban  Batujajar;1985;3;7000000;48000000;;;2018/10/03;3;3
;Tini Suhartini;Warung;perdagangan;Kp Pajajaran RT 01 Rw 02 Galanggang   Batujajar;2003;3;2000000;10000000;;;2018/10/04;3;3
;Suganda;Warung;perdagangan;Kp Cihurip RT 03 Rw 12  Pangauban  Batujajar;1987;2;10000000;10000000;;;2018/10/05;3;3
;Onih;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;1985;1;20000000;12000000;;;2018/10/06;3;3
;Wati;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2015;2;20000000;12000000;;;2018/10/07;3;3
;Piah;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2010;3;1500000;12000000;;;2018/10/08;3;3
;Iim;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2007;4;1000000;10000000;;;2018/10/09;3;3
;Eros ;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2001;1;1200000;15000000;;;2018/10/10;3;3
;Ira;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2015;3;4000000;24000000;;;2018/10/11;3;3
;Eem;Sembako;perdagangan;Kp Cibogo RT 04 Rw 12  Pangauban  Batujajar;2014;4;3000000;15000000;;;2018/10/12;3;3
;Holisoh;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12  Pangauban  Batujajar;2012;4;3500000;11000000;;;2018/10/13;3;3
;Hodijah;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12 Pangauban  Batujajar;2008;3;3000000;15000000;;;2018/10/14;3;3
;Suganda;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12  Pangauban  Batujajar;2007;4;6000000;20000000;;;2018/10/15;3;3
;Ai Yanyan;Sembako;perdagangan;Kp Cihurip RT 02 rw 12 Pangauban  Batujajar;1989;2;5000000;20000000;;;2018/10/16;3;3
;Solihah ;Sembako;perdagangan;Kp Cihurip RT 02 Rw 12  Pangauban  Batujajar;2005;5;2000000;15000000;;;2018/10/17;3;3
;Usen ;Sembako;perdagangan;Kp Cihurip RT 04 Rw 11  Pangauban  Batujajar;2016;5;2000000;10000000;;;2018/10/18;3;3
;Ai;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2015;2;2000000;16000000;;;2018/10/19;3;3
;Suheli;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2013;4;10000000;12500000;;;2018/10/20;3;3
;Ai Sukaesin;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2011;1;1000000;12000000;;;2018/10/21;3;3
;Sadili;Sembako;perdagangan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2008;1;1000000;6000000;;;2018/10/22;3;3
;Fatimah;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2007;3;1000000;15000000;;;2018/10/23;3;3
;Iyat;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2008;1;2000000;12000000;;;2018/10/24;3;3
;Fardi;Sembako ;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2012;3;25000000;21000000;;;2018/10/25;3;3
;usep;Sembako;perdagangan;Kp Banuraja RT 01 Rw 09  Pangauban  Batujajar;2013;3;25000000;20000000;;;2018/10/26;3;3
;Ayep;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2008;4;1500000;10000000;;;2018/10/27;3;3
;Iri;Sembako;perdagangan;Kp Banuraja RT 02 Rw 09  Pangauban  Batujajar;2012;3;6000000;12000000;;;2018/10/28;3;3
;Lilis;Sembako;perdagangan;Kp Banusari RT 01 Rw 10  Pangauban  Batujajar;2008;2;1500000;12000000;;;2018/10/29;3;3
;Kokom;warung;perdagangan;Kp Banusari RT 02 Rw 10 Pangauban  Batujajar;2016;2;10000000;10000000;;;2018/10/30;3;3
;Tini;Warung;perdagangan;Kp Banuraja RT 01 Rw 09  Pangauban  Batujajar;2012;2;30000000;10000000;;;2018/10/31;3;3
;Rina;Warung;perdagangan;Kp Banusari RT 03 Rw 09  Pangauban  Batujajar;2017;5;2000000;10000000;;;2018/11/01;3;3
;Mimin;Warung;perdagangan;Kp Banusari RT 05 Rw 10  Pangauban  Batujajar;2008;4;2500000;15000000;;;2018/11/02;3;3
;Engkoy;Warung;perdagangan;Kp banusari RT 05 Rw 10 Pangauban  Batujajar;2012;6;2000000;11500000;;;2018/11/03;3;3
;Yuli;Warung;perdagangan;Kp Banusari RT 02 Rw 10  Pangauban  Batujajar;2010;3;1000000;10000000;;;2018/11/04;3;3
;Yuyun;Warung;perdagangan;Kp Banusari RT 04 Rw 10 Pangauban  Batujajar;2005;1;2000000;10000000;;;2018/11/05;3;3
;Ani;Warung;perdagangan;Kp Banusari RT 01 Rw 10  Pangauban  Batujajar;2008;4;10000000;10000000;;;2018/11/06;3;3
;Enur;Warung;perdagangan;Kp Banusari RT 01 Rw 13 Pangauban  Batujajar;2009;3;20000000;12000000;;;2018/11/07;3;3
;ratna;Warung;perdagangan;Kp Banusari RT 01 Rw 13  Pangauban  Batujajar;2010;3;20000000;12000000;;;2018/11/08;3;3
;Sari;Warung;perdagangan;Kp Banusari RT 01 Rw 13  Pangauban  Batujajar;2015;5;1500000;12000000;;;2018/11/09;3;3
;Agus ;Warung;perdagangan;Kp Banusari RT 04 Rw 10  Pangauban  Batujajar;2002;2;1000000;10000000;;;2018/11/10;3;3
;Lilis;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2006;2;1200000;15000000;;;2018/11/11;3;3
;Yakop;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2017;2;4000000;24000000;;;2018/11/12;3;3
;Suryati;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2005;4;3000000;15000000;;;2018/11/13;3;3
;Rida ;Warung;perdagangan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2012;2;3500000;11000000;;;2018/11/14;3;3
;Dudu;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2006;3;3000000;15000000;;;2018/11/15;3;3
;Andi;Warung;perdagangan;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2011;3;6000000;20000000;;;2018/11/16;3;3
;Imas;Dagang;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2003;3;5000000;20000000;;;2018/11/17;3;3
;Wawan Triana;Dagang;perdagangan;Kp Cihurip RT 03/11  Pangauban  Batujajar;2016;3;2000000;15000000;;;2018/11/18;3;3
;Aisah;Dagang;perdagangan;Kp Cihurip RT 02/11 Pangauban  Batujajar;2010;2;2000000;10000000;;;2018/11/19;3;3
;Ika kartika ;Dagang;perdagangan;Kp Cihurip RT 02/11 Pangauban  Batujajar;2017;5;2000000;16000000;;;2018/11/20;3;3
;Rokanah;Dagang;perdagangan;Kp Cihurip RT 03/09 Pangauban  Batujajar;2005;2;10000000;12500000;;;2018/11/21;3;3
;Yoyoh;Dagang;perdagangan;Kp Cihurip RT 02/11 Pangauban  Batujajar;2001;4;1000000;12000000;;;2018/11/22;3;3
;Wiwin Hayati;Dagang;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2005;3;1000000;6000000;;;2018/11/23;3;3
;Asep Setiawan;Dagang;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2003;4;1000000;15000000;;;2018/11/24;3;3
;Yuni Rostini;Dagang;perdagangan;Kp Cihurip RT 04/11  Pangauban  Batujajar;2011;2;2000000;12000000;;;2018/11/25;3;3
;Lilis ;Dagang ;perdagangan;Kp Cihurip RT 02/11  Pangauban  Batujajar;2015;3;5000000;11500000;;;2018/11/26;3;3
;Junaedi;Dagang;perdagangan;Kp Cihurip RT 01/11 Pangauban  Batujajar;2002;3;2000000;24000000;;;2018/11/27;3;3
;Intan S ;Dagang;perdagangan;Kp Cihurip RT 01/11  Pangauban  Batujajar;2001;4;20000000;12000000;;;2018/11/28;3;3
;Nur Hayati;Dagang ;perdagangan;Kp Pajajaran RT 01/04   Galanggang  Batujajar;2011;4;3500000;11050000;;;2018/11/29;3;3
;Nia Kurniasih ;Dagang;perdagangan;Kp Pajajaran RT 01/04   Galanggang  Batujajar;2016;1;2000000;10000000;;;2018/11/30;3;3
;Kokom;Dagang;perdagangan;Kp Pajajaran RT 02/11   Galanggang  Batujajar;2011;2;1500000;14000000;;;2018/12/01;3;3
;;Sembako;perdagangan;Cibeber hilir RW. 16 Giri Asih Batujajar;2003;1;1500000;10000000;;;2018/12/02;3;3
;Kel. Pemuda Mandiri;Warung  ;perdagangan;Kp. Selacau RT.01/08 Selacau Batujajar ;2016;4;3000000;24000000;;;2018/12/03;3;3
;Selacau Mandiri;Warung  ;perdagangan;Jl.Selacau Kp.Selacau RT 02 RW 05 Selacau Batujajar;2010;1;5000000;10000000;;;2018/12/04;3;3
;Eka Karya Mandiri;Warung  ;perdagangan;Kp.Resmigalih RT 02 RW 02 Batujajar Timur Batujajar;2017;2;5000000;50000000;;;2018/12/05;3;3
;Panca Tengah;Warung  ;perdagangan;Jl.Blok Panca Tengah RT 04 RW 03 Batujajar Barat Batujajar;2005;1;5000000;50000000;;;2018/12/06;3;3
;Sauyunan;Warung  ;perdagangan;Kp.Selacau RT 02 RW 08 Batujajar Batujajar;2001;4;6000000;45000000;;;2018/12/07;3;3
